names	theta	phi	whiteNoise	timespan
J0023+0923	1.4069106056073600	0.10158377617495200	1.34	2.3
J0030+0451	1.4859553517780400	0.13289417953380600	1.48	15.1
J0034-0534	1.6681312715774200	0.14994102804699900	4.19	13.5
J0218+4232	0.8283654215584370	0.602601099215243	7.01	17.6
J0340+4130	0.8462651560977420	0.9616246369965380	5.16	1.7
J0437-4715	2.395510961837070	1.2098025031530400	0.11	18.6
J0610-2100	1.937450436054230	1.615418509804820	4.88	6.9
J0613-0200	1.6059321453600200	1.6307175788362800	1.14	16.0
J0621+1002	1.3954938498639600	1.6640344061867500	6.57	11.8
J0645+5158	0.6637346402252350	1.7714424518308600	0.57	2.4
J0711-6830	2.766576259616440	1.8845315892251700	1.44	17.1
J0751+1807	1.2544146149717500	2.0557909127336400	3.0	17.6
J0900-3144	2.124797204771220	2.359390819363090	3.21	6.9
J1012+5307	0.6437251389067080	2.672785517755510	1.91	16.8
J1022+1001	0.7030281798772920	1.1435926351678400	1.97	17.5
J1024-0719	1.6985917664065600	2.725525229300190	1.71	18.2
J1045-4509	2.3590747057814900	2.817992827805290	3.19	17.0
J1455-3330	2.1557065371063600	-2.374522383683130	4.12	9.7
J1600-3053	2.110051744056610	-2.09062061464876	0.92	12.3
J1603-7202	2.828174090616560	-2.078710861791880	1.58	15.3
J1614-2230	1.96364745902983	-2.030653641170000	1.38	5.1
J1640+2224	1.1798000162884300	-1.918644395952560	0.77	17.2
J1643-1224	1.7875014937067400	-1.9039968531974700	2.55	20.1
J1713+0747	1.4347698692884400	-1.7722702248710800	0.21	22.5
J1721-2457	2.006286274585330	-1.7405660335592800	12.21	12.8
J1730-2304	1.9735365746025000	-1.7001196538135500	1.57	20.3
J1732-5049	2.4577157395282500	-1.6894957003864000	2.72	8.0
J1738+0333	1.5087842899898300	-1.6628646968458400	1.38	7.3
J1741+1351	1.3288543990940700	-1.651434656134390	0.46	4.2
J1744-1134	1.7729381619258900	-1.638470404089400	0.73	19.9
J1747-4036	2.279665629300930	-1.6239767303846500	4.79	1.7
J1751-2857	2.0762947987446900	-1.6076889445502800	2.85	8.3
J1801-1417	1.820255004125270	-1.5627191488511100	2.76	7.0
J1802-2124	1.9443146930451900	-1.5616817177709700	2.76	7.2
J1804-2717	2.0471327099739100	-1.5518061142482500	3.72	8.4
J1824-2452A	2.004854111945260	-1.4637488961397200	0.57	5.6
J1843-1113	1.766714807426480	-1.3801728335120400	0.71	10.0
J1853+1303	1.3428172829334400	-1.3353719058224700	1.31	8.4
J1857+0943	1.4011252244997100	-1.3194405799997700	1.16	28.4
J1903+0327	1.510489516431390	-1.2954857505463900	2.11	4.0
J1909-3744	2.2294385660606600	-1.2662778863351200	0.19	10.8
J1910+1256	1.344943702078720	-1.2646581936523100	1.42	9.5
J1911+1347	1.3300651806066200	-1.2569858659029300	4.3	7.5
J1911-1114	1.7669642188186500	-1.2574168463012500	1.09	8.8
J1918-0642	1.687902695543010	-1.2269642474978700	1.8	12.8
J1923+2515	1.1299039539039500	-1.2070048371671300	2.25	2.2
J1939+2134	1.194100344794120	-1.1360230811795000	0.24	29.4
J1944+0907	1.4115690430713500	-1.1163320752674100	2.22	5.7
J1949+3106	1.0279805500919700	-1.0930388484069700	4.61	1.2
J1955+2908	1.0621131511355800	-1.0669870154195100	3.2	8.1
J2010-1323	1.8046515299361400	-1.000224805695380	2.53	7.4
J2017+0603	1.4651769176579800	-0.9713698692318040	0.72	1.7
J2019+2425	1.1445728481915900	-0.9619718654721540	9.64	9.1
J2033+1734	1.2639166650492700	-0.9012071647566670	13.65	7.9
J2043+1711	1.2707504761809500	-0.8580561313054590	0.63	2.3
J2124-3358	2.1638456202668400	-0.6774901587474500	2.89	2.89
J2129-5721	2.5718118740079300	-0.6572055594782380	0.98	20.0
J2145-0750	1.707603654799120	-0.585379283384475	1.73	21.2
J2214+3000	1.04701238138867	-0.45968668256528800	1.67	2.1
J2229+2643	1.1042230385894400	-0.3933619626650670	4.28	8.2
J2302+4442	0.7905271095620400	-0.24965633414670500	5.82	1.7
J2317+1439	1.3149539646444000	-0.18695122421148400	0.87	17.3
J2322+2057	1.2051372847499100	-0.1641825466320450	6.74	7.9
