# Id, RA, Dec, z, logmbh,f,h,h_upp,h_low,M_err
HS_1630+2355,16 33 02.7,+23 49 28.8,0.821,9.86,1.13E-08,2.29E-16,6.25E-16,8.41E-17,0.264025
SDSS_J164452.71+430752.2,16 44 52.7,+43 07 52.9,1.715,10.15,1.16E-08,4.94E-16,4.94E-16,3.82E-16,5  0.00000
SDSS_J114857.33+160023.1,11 48 57.4,+16 00 22.7,1.224,9.9,1.25E-08,3.02E-16,3.03E-16,2.36E-16,0
SBS_0920+590,09 23 58.7,+58 49 06.3,0.709,8.76,3.57E-08,7.63E-17,2.34E-16,2.49E-17,0.28855
FBQS_J081740.1+232731,08 17 40.2,+23 27 32.0,0.891,9.55,1.95E-08,7.74E-17,2.30E-16,2.61E-17,0.27627
HS_0926+3608,09 29 52.1,+35 54 49.6,2.15,9.95,1.48E-08,2.04E-16,2.04E-16,1.59E-16,0
SDSS_J092911.35+203708.5,09 29 11.3,+20 37 09.2,1.845,9.92,1.30E-08,2.02E-16,2.02E-16,1.56E-16,0
SDSS_J133516.17+183341.4,13 35 16.1,+18 33 41.8,1.192,9.76,1.34E-08,1.91E-16,1.91E-16,1.48E-16,0
SDSS_J140704.43+273556.6,14 07 04.5,+27 35 56.3,2.222,9.94,1.48E-08,1.89E-16,1.89E-16,1.47E-16,0
SDSS_J134855.27-032141.4,13 48 55.3,--3 21 41.4,2.099,9.89,1.62E-08,1.78E-16,1.78E-16,1.38E-16,0
SDSS_J102349.38+522151.2,10 23 49.5,+52 21 51.8,0.955,9.59,1.30E-08,4.77E-17,1.45E-16,1.57E-17,0.280541
SDSS_J160730.33+144904.3,16 07 30.3,+14 49 04.2,1.8,9.82,1.34E-08,1.44E-16,1.45E-16,1.12E-16,0
SDSS_J131706.19+271416.7,13 17 06.2,+27 14 16.7,2.672,9.92,1.39E-08,1.34E-16,1.34E-16,1.04E-16,0
SNU_J13120+0641,13 12 04.7,+06 41 07.6,0.242,9.14,1.55E-08,1.33E-16,1.33E-16,1.04E-16,0
SDSS_J155449.11+084204.8,15 54 49.1,+08 42 05.4,0.786,8.85,1.48E-08,3.60E-17,1.10E-16,1.18E-17,0.28103
SDSS_J104430.25+051857.2,10 44 30.3,+05 18 56.8,0.905,9.24,1.74E-08,3.41E-17,1.05E-16,1.11E-17,0.276206
SDSS_J143621.29+072720.8,14 36 21.3,+07 27 21.1,0.889,9.03,1.23E-08,3.48E-17,1.02E-16,1.18E-17,0.285363
SDSS_J133127.31+182416.9,13 31 27.3,+18 24 17.1,0.938,9.39,1.41E-08,2.91E-17,9.44E-17,8.98E-18,0.299669
